show_id,type,title,director,date_added,release_year,rating,duration,listed_in,Platform
s34,TV Show,Squid Game,,"September 17, 2021",2021,8.0,1 Season,"International TV Shows, TV Dramas, TV Thrillers",Netflix
s35,TV Show,Tayo and Little Wizards,,"September 17, 2021",2020,,1 Season,Kids' TV,Netflix
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,"September 17, 2021",2021,5.6,110 min,"Dramas, International Movies, Thrillers",Netflix
s37,Movie,The Stronghold,Cédric Jimenez,"September 17, 2021",2021,6.9,105 min,"Action & Adventure, Dramas, International Movies",Netflix
s38,TV Show,Angry Birds,,"September 16, 2021",2018,6.3,1 Season,"Kids' TV, TV Comedies",Netflix
s39,Movie,Birth of the Dragon,George Nolfi,"September 16, 2021",2017,5.7,96 min,"Action & Adventure, Dramas",Netflix
s40,TV Show,Chhota Bheem,,"September 16, 2021",2021,7.1,3 Seasons,Kids' TV,Netflix
s41,TV Show,He-Man and the Masters of the Universe,,"September 16, 2021",2021,7.5,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Netflix
s42,Movie,Jaws,Steven Spielberg,"September 16, 2021",1975,8.1,124 min,"Action & Adventure, Classic Movies, Dramas",Netflix
s43,Movie,Jaws 2,Jeannot Szwarc,"September 16, 2021",1978,5.8,116 min,"Dramas, Horror Movies, Thrillers",Netflix
s44,Movie,Jaws 3,Joe Alves,"September 16, 2021",1983,3.7,98 min,"Action & Adventure, Horror Movies, Thrillers",Netflix
s45,Movie,Jaws: The Revenge,Joseph Sargent,"September 16, 2021",1987,3.0,91 min,"Action & Adventure, Horror Movies, Thrillers",Netflix
s46,Movie,My Heroes Were Cowboys,Tyler Greco,"September 16, 2021",2021,6.8,23 min,Documentaries,Netflix
s47,Movie,Safe House,Daniel Espinosa,"September 16, 2021",2012,6.7,115 min,Action & Adventure,Netflix
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"September 16, 2021",2020,6.7,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
s49,Movie,Training Day,Antoine Fuqua,"September 16, 2021",2001,7.8,122 min,"Dramas, Thrillers",Netflix
s50,TV Show,Castle and Castle,,"September 15, 2021",2021,7.0,2 Seasons,"International TV Shows, TV Dramas",Netflix
s51,TV Show,Dharmakshetra,,"September 15, 2021",2014,8.5,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Netflix
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"September 15, 2021",2002,7.3,99 min,"Action & Adventure, Anime Features, International Movies",Netflix
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"September 15, 2021",2003,7.6,99 min,"Action & Adventure, Anime Features, International Movies",Netflix
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"September 15, 2021",2004,7.1,88 min,"Action & Adventure, Anime Features, International Movies",Netflix
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"September 15, 2021",2001,7.2,100 min,"Action & Adventure, Anime Features, International Movies",Netflix
s56,TV Show,Nailed It,,"September 15, 2021",2021,7.4,6 Seasons,Reality TV,Netflix
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"September 15, 2021",2011,7.1,102 min,"Action & Adventure, Anime Features, International Movies",Netflix
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"September 15, 2021",2008,6.8,93 min,"Action & Adventure, Anime Features, International Movies",Netflix
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"September 15, 2021",2009,7.0,96 min,"Action & Adventure, Anime Features, International Movies",Netflix
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"September 15, 2021",2007,6.7,95 min,"Action & Adventure, Anime Features, International Movies",Netflix
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"September 15, 2021",2010,6.7,85 min,"Action & Adventure, Anime Features, International Movies",Netflix
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"September 15, 2021",2005,8.2,97 min,"Action & Adventure, Anime Features, International Movies",Netflix
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"September 15, 2021",2006,6.3,95 min,"Action & Adventure, Anime Features, International Movies",Netflix
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"September 15, 2021",2004,7.4,83 min,"Action & Adventure, Anime Features, International Movies",Netflix
s65,Movie,Nightbooks,David Yarovesky,"September 15, 2021",2021,5.8,103 min,Children & Family Movies,Netflix
s66,TV Show,Numberblocks,,"September 15, 2021",2021,8.5,6 Seasons,Kids' TV,Netflix
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,,"September 15, 2021",2014,,1 Season,"Docuseries, International TV Shows",Netflix
s68,TV Show,Saved by the Bell,,"September 15, 2021",1994,7.1,9 Seasons,"Kids' TV, TV Comedies",Netflix
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech","September 15, 2021",2021,7.4,113 min,"Documentaries, International Movies, Sports Movies",Netflix
s70,TV Show,Stories by Rabindranath Tagore,,"September 15, 2021",2015,8.6,1 Season,"International TV Shows, TV Dramas",Netflix
s71,TV Show,Too Hot To Handle: Latino,,"September 15, 2021",2021,4.8,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",Netflix
s72,Movie,A StoryBots Space Adventure,David A. Vargas,"September 14, 2021",2021,6.7,13 min,Children & Family Movies,Netflix
s73,TV Show,Jack Whitehall: Travels with My Father,,"September 14, 2021",2021,7.6,5 Seasons,"British TV Shows, Docuseries, International TV Shows",Netflix
s74,Movie,King of Boys,Kemi Adetiba,"September 14, 2021",2018,6.3,182 min,"Dramas, International Movies",Netflix
s75,TV Show,The World's Most Amazing Vacation Rentals,,"September 14, 2021",2021,6.8,2 Seasons,Reality TV,Netflix
s76,Movie,You vs. Wild: Out Cold,Ben Simms,"September 14, 2021",2021,5.4,106 min,Children & Family Movies,Netflix
s77,TV Show,Yowamushi Pedal,,"September 14, 2021",2013,7.6,1 Season,"Anime Series, International TV Shows",Netflix
s78,Movie,Little Singham - Black Shadow,Prakash Satam,"September 11, 2021",2021,8.9,48 min,"Children & Family Movies, Comedies",Netflix
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"September 11, 2021",2020,5.3,145 min,"Comedies, Dramas, International Movies",Netflix
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"September 11, 2021",2021,5.3,145 min,"Comedies, Dramas, International Movies",Netflix
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,"September 10, 2021",2021,,93 min,Children & Family Movies,Netflix
s82,Movie,Kate,Cedric Nicolas-Troyan,"September 10, 2021",2021,6.3,106 min,Action & Adventure,Netflix
s83,TV Show,Lucifer,,"September 10, 2021",2021,8.0,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Netflix
s84,TV Show,Metal Shop Masters,,"September 10, 2021",2021,5.7,1 Season,Reality TV,Netflix
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","September 10, 2021",2020,7.6,147 min,"Action & Adventure, Comedies, Dramas",Netflix
s86,TV Show,Pokémon Master Journeys: The Series,,"September 10, 2021",2021,7.5,1 Season,"Anime Series, Kids' TV",Netflix
s87,Movie,Prey,Thomas Sieben,"September 10, 2021",2021,7.1,87 min,"International Movies, Thrillers",Netflix
s88,TV Show,Titipo Titipo,,"September 10, 2021",2019,6.8,2 Seasons,"Kids' TV, Korean TV Shows",Netflix
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"September 9, 2021",2021,6.9,96 min,"Documentaries, Sports Movies",Netflix
s90,TV Show,Mighty Raju,,"September 9, 2021",2017,5.2,4 Seasons,Kids' TV,Netflix
s91,Movie,Paradise Hills,Alice Waddington,"September 9, 2021",2019,5.3,95 min,"Sci-Fi & Fantasy, Thrillers",Netflix
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau","September 9, 2021",2021,8.8,92 min,"Documentaries, International Movies",Netflix
s93,TV Show,Into the Night,,"September 8, 2021",2021,7.0,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Netflix
s94,Movie,JJ+E,Alexis Almström,"September 8, 2021",2021,5.4,91 min,"Dramas, International Movies, Romantic Movies",Netflix
s95,Movie,Show Dogs,Raja Gosnell,"September 8, 2021",2018,4.0,90 min,"Children & Family Movies, Comedies",Netflix
s96,TV Show,The Circle,,"September 8, 2021",2021,5.4,3 Seasons,Reality TV,Netflix
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"September 7, 2021",2018,7.8,97 min,"Documentaries, Music & Musicals",Netflix
s98,TV Show,Kid Cosmic,,"September 7, 2021",2021,7.9,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Netflix
s99,TV Show,Octonauts: Above & Beyond,,"September 7, 2021",2021,7.2,1 Season,"British TV Shows, Kids' TV",Netflix
s100,TV Show,On the Verge,,"September 7, 2021",2021,6.5,1 Season,"TV Comedies, TV Dramas",Netflix
s101,TV Show,Tobot Galaxy Detectives,,"September 7, 2021",2019,6.4,2 Seasons,Kids' TV,Netflix
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way","September 7, 2021",2021,4.5,80 min,"Documentaries, Sports Movies",Netflix
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,"September 6, 2021",2021,7.8,1 Season,"Docuseries, Science & Nature TV",Netflix
s104,Movie,Shadow Parties,Yemi Amodu,"September 6, 2021",2020,5.5,117 min,"Dramas, International Movies, Thrillers",Netflix
s105,TV Show,Tayo the Little Bus,,"September 6, 2021",2016,5.3,2 Seasons,"Kids' TV, Korean TV Shows",Netflix
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,"September 5, 2021",2017,7.9,128 min,"Action & Adventure, Comedies, Dramas",Netflix
s107,TV Show,Bunk'd,,"September 5, 2021",2021,5.5,5 Seasons,"Kids' TV, TV Comedies",Netflix
s108,Movie,A Champion Heart,David de Vos,"September 4, 2021",2018,5.5,90 min,"Children & Family Movies, Dramas",Netflix
s109,TV Show,Dive Club,,"September 3, 2021",2021,6.2,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",Netflix
s110,TV Show,La casa de papel,,"September 3, 2021",2021,8.2,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander","September 3, 2021",2021,7.6,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",Netflix
s112,TV Show,Sharkdog,,"September 3, 2021",2021,6.0,1 Season,Kids' TV,Netflix
s113,Movie,Worth,Sara Colangelo,"September 3, 2021",2021,6.1,119 min,Dramas,Netflix
s114,Movie,Afterlife of the Party,Stephen Herek,"September 2, 2021",2021,5.8,110 min,"Comedies, Romantic Movies",Netflix
s115,Movie,Anjaam,Rahul Rawail,"September 2, 2021",1994,6.6,143 min,"Dramas, International Movies, Thrillers",Netflix
s116,Movie,Bright Star,Jane Campion,"September 2, 2021",2009,6.9,119 min,"Dramas, Romantic Movies",Netflix
s117,Movie,Dhanak,Nagesh Kukunoor,"September 2, 2021",2015,7.8,114 min,"Comedies, Dramas, Independent Movies",Netflix
s118,Movie,Final Account,Luke Holland,"September 2, 2021",2021,7.3,94 min,Documentaries,Netflix
s119,Movie,Gurgaon,Shanker Raman,"September 2, 2021",2017,6.4,106 min,"Dramas, International Movies, Thrillers",Netflix
s120,Movie,Here and There,JP Habac,"September 2, 2021",2020,7.8,99 min,"Dramas, International Movies, Romantic Movies",Netflix
s121,TV Show,Heroes of Goo Jit Zu,,"September 2, 2021",2021,7.2,1 Season,"Kids' TV, TV Comedies",Netflix
s122,TV Show,Hotel Del Luna,,"September 2, 2021",2019,8.1,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
s123,Movie,In the Cut,Jane Campion,"September 2, 2021",2003,5.4,118 min,Thrillers,Netflix
s124,TV Show,Luv Kushh,,"September 2, 2021",2012,7.8,1 Season,Kids' TV,Netflix
s125,TV Show,Pororo - The Little Penguin,,"September 2, 2021",2013,5.8,3 Seasons,"Kids' TV, Korean TV Shows",Netflix
s126,TV Show,Q-Force,,"September 2, 2021",2021,6.7,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",Netflix
s127,Movie,Shikara,Vidhu Vinod Chopra,"September 2, 2021",2020,3.4,115 min,"Dramas, International Movies, Romantic Movies",Netflix
s128,Movie,A Cinderella Story,Mark Rosman,"September 1, 2021",2004,5.9,95 min,"Children & Family Movies, Comedies",Netflix
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,"September 1, 2021",2017,6.3,115 min,"Dramas, International Movies, Thrillers",Netflix
s130,Movie,An Unfinished Life,Lasse Hallström,"September 1, 2021",2005,7.0,108 min,Dramas,Netflix
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,"September 1, 2021",2021,5.8,63 min,"Children & Family Movies, Music & Musicals",Netflix
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,"September 1, 2021",1982,6.5,117 min,"Action & Adventure, Classic Movies, Cult Movies",Netflix
s133,TV Show,Brave Animated Series,,"September 1, 2021",2021,7.4,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Netflix
s134,Movie,Chappie,Neill Blomkamp,"September 1, 2021",2015,6.8,121 min,"Action & Adventure, Sci-Fi & Fantasy",Netflix
s135,Movie,Clear and Present Danger,Phillip Noyce,"September 1, 2021",1994,6.9,142 min,"Action & Adventure, Dramas",Netflix
s136,Movie,Cliffhanger,Renny Harlin,"September 1, 2021",1993,6.5,113 min,Action & Adventure,Netflix
s137,Movie,Cold Mountain,Anthony Minghella,"September 1, 2021",2003,7.2,154 min,"Dramas, Romantic Movies",Netflix
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"September 1, 2021",2001,4.8,95 min,"Action & Adventure, Comedies",Netflix
s139,Movie,Dear John,Lasse Hallström,"September 1, 2021",2010,6.3,108 min,"Dramas, Romantic Movies",Netflix
s140,Movie,Do the Right Thing,Spike Lee,"September 1, 2021",1989,8.0,120 min,"Classic Movies, Comedies, Dramas",Netflix
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"September 1, 2021",2014,7.3,100 min,"Dramas, International Movies, Thrillers",Netflix
s142,Movie,Extraction,Steven C. Miller,"September 1, 2021",2015,6.8,82 min,Action & Adventure,Netflix
s143,Movie,Freedom Writers,Richard LaGravenese,"September 1, 2021",2007,7.6,124 min,Dramas,Netflix
s144,Movie,Green Lantern,Martin Campbell,"September 1, 2021",2011,5.5,114 min,"Action & Adventure, Sci-Fi & Fantasy",Netflix
s145,Movie,House Party,Reginald Hudlin,"September 1, 2021",1990,6.5,104 min,"Comedies, Cult Movies",Netflix
s146,Movie,House Party 2,"George Jackson, Doug McHenry","September 1, 2021",1991,5.3,94 min,"Comedies, Cult Movies, Music & Musicals",Netflix
s147,Movie,House Party 3,Eric Meza,"September 1, 2021",1994,4.7,94 min,"Comedies, Music & Musicals",Netflix
s148,TV Show,How to Be a Cowboy,,"September 1, 2021",2021,7.4,1 Season,Reality TV,Netflix
s149,TV Show,HQ Barbers,Gerhard Mostert,"September 1, 2021",2020,6.3,1 Season,TV Shows,Netflix
s150,Movie,I Got the Hook Up,Michael Martin,"September 1, 2021",1998,4.1,93 min,"Action & Adventure, Comedies",Netflix
s151,Movie,In Too Deep,Michael Rymer,"September 1, 2021",1999,6.2,97 min,Thrillers,Netflix
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","September 1, 2021",2005,8.5,109 min,"Action & Adventure, International Movies",Netflix
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,"September 1, 2021",2016,3.7,88 min,Comedies,Netflix
s154,TV Show,Kid-E-Cats,,"September 1, 2021",2016,6.5,2 Seasons,Kids' TV,Netflix
s155,TV Show,Kuroko's Basketball,,"September 1, 2021",2015,8.2,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",Netflix
s156,Movie,Labyrinth,Jim Henson,"September 1, 2021",1986,7.3,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",Netflix
s157,Movie,Letters to Juliet,Gary Winick,"September 1, 2021",2010,6.5,105 min,"Comedies, Dramas, Romantic Movies",Netflix
s158,Movie,Level 16,Danishka Esterhazy,"September 1, 2021",2018,6.1,102 min,"Sci-Fi & Fantasy, Thrillers",Netflix
s159,Movie,Love Don't Cost a Thing,Troy Byer,"September 1, 2021",2003,5.2,101 min,"Comedies, Romantic Movies",Netflix
s160,Movie,Love in a Puff,Pang Ho-cheung,"September 1, 2021",2010,,103 min,"Comedies, Dramas, International Movies",Netflix
s161,TV Show,Major Dad,,"September 1, 2021",1992,6.5,4 Seasons,TV Comedies,Netflix
s162,Movie,Mars Attacks!,Tim Burton,"September 1, 2021",1996,6.4,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",Netflix
s163,Movie,Marshall,Reginald Hudlin,"September 1, 2021",2017,7.3,118 min,Dramas,Netflix
s164,Movie,My Boss's Daughter,David Zucker,"September 1, 2021",2003,4.7,86 min,"Comedies, Romantic Movies",Netflix
s165,Movie,Mystery Men,Kinka Usher,"September 1, 2021",1999,6.1,121 min,"Action & Adventure, Comedies",Netflix
s166,TV Show,Oldsters,,"September 1, 2021",2019,7.4,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix
s167,Movie,Once Upon a Time in America,Sergio Leone,"September 1, 2021",1984,8.3,229 min,"Classic Movies, Dramas",Netflix
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","September 1, 2021",2008,5.5,76 min,"Children & Family Movies, Comedies",Netflix
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","September 1, 2021",2001,6.3,95 min,"Action & Adventure, Children & Family Movies, Comedies",Netflix
s170,Movie,Poseidon,Wolfgang Petersen,"September 1, 2021",2006,5.7,98 min,"Action & Adventure, Dramas",Netflix
s171,Movie,Rhyme & Reason,Peter Spirer,"September 1, 2021",1997,7.4,89 min,"Documentaries, Music & Musicals",Netflix
s172,Movie,Same Kind of Different as Me,Michael Carney,"September 1, 2021",2017,6.6,120 min,"Dramas, Faith & Spirituality",Netflix
s173,Movie,School of Rock,Richard Linklater,"September 1, 2021",2003,7.2,110 min,"Comedies, Music & Musicals",Netflix
s174,Movie,Snervous Tyler Oakley,Amy Rice,"September 1, 2021",2015,5.5,83 min,"Documentaries, LGBTQ Movies",Netflix
s175,Movie,Tears of the Sun,Antoine Fuqua,"September 1, 2021",2003,6.6,121 min,"Action & Adventure, Dramas",Netflix
s176,Movie,The Blue Lagoon,Randal Kleiser,"September 1, 2021",1980,5.8,105 min,"Dramas, Romantic Movies",Netflix
s177,Movie,The Golden Child,Michael Ritchie,"September 1, 2021",1986,6.0,94 min,"Action & Adventure, Comedies",Netflix
s178,Movie,The Guns of Navarone,J. Lee Thompson,"September 1, 2021",1961,7.5,156 min,"Action & Adventure, Classic Movies",Netflix
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen","September 1, 2021",2014,6.5,112 min,"Action & Adventure, Comedies",Netflix
s180,Movie,The Nutty Professor,Tom Shadyac,"September 1, 2021",1996,5.7,95 min,"Comedies, Romantic Movies",Netflix
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,"September 1, 2021",2000,4.5,107 min,"Comedies, Romantic Movies",Netflix
s182,TV Show,Turning Point: 9/11 and the War on Terror,,"September 1, 2021",2021,7.9,1 Season,Docuseries,Netflix
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"September 1, 2021",2008,5.5,114 min,Comedies,Netflix
s184,Movie,In the Line of Fire,Wolfgang Petersen,"August 31, 2021",1993,7.2,129 min,"Action & Adventure, Classic Movies",Netflix
s185,TV Show,Sparking Joy,,"August 31, 2021",2021,6.4,1 Season,Reality TV,Netflix
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way","August 31, 2021",2021,,86 min,"Documentaries, Sports Movies",Netflix
s187,TV Show,Hometown Cha-Cha-Cha,,"August 29, 2021",2021,8.3,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
s188,TV Show,The Ingenuity of the Househusband,,"August 29, 2021",2021,6.7,1 Season,"International TV Shows, TV Comedies",Netflix
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor","August 28, 2021",2008,5.4,97 min,"Comedies, International Movies",Netflix
s190,TV Show,Bread Barbershop,,"August 28, 2021",2020,6.4,2 Seasons,"Kids' TV, TV Comedies",Netflix
s191,Movie,Thimmarusu,Sharan Koppisetty,"August 28, 2021",2021,7.1,125 min,"Dramas, International Movies",Netflix
s192,Movie,Wind River,Taylor Sheridan,"August 28, 2021",2017,7.7,107 min,"Dramas, Independent Movies",Netflix
s193,Movie,C Kkompany,Sachin Yardi,"August 27, 2021",2008,5.5,127 min,"Action & Adventure, Comedies, International Movies",Netflix
s194,TV Show,D.P.,,"August 27, 2021",2021,8.2,1 Season,"International TV Shows, TV Dramas",Netflix
s195,TV Show,Deadly Sins,,"August 27, 2021",2002,7.7,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix
s196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,"August 27, 2021",2008,4.4,128 min,"Comedies, Dramas, International Movies",Netflix
s197,Movie,He's All That,Mark Waters,"August 27, 2021",2021,4.4,92 min,"Comedies, Romantic Movies",Netflix
s198,TV Show,I Heart Arlo,,"August 27, 2021",2021,6.8,1 Season,"Kids' TV, TV Comedies",Netflix
s199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,"August 27, 2021",2021,6.6,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
s200,Movie,Koi Aap Sa,Partho Mitra,"August 27, 2021",2006,5.6,135 min,"Comedies, Dramas, International Movies",Netflix
s201,Movie,Krishna Cottage,Santram Varma,"August 27, 2021",2004,5.3,124 min,"Action & Adventure, Horror Movies, International Movies",Netflix
s202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu","August 27, 2021",2003,4.4,136 min,"Dramas, International Movies, Thrillers",Netflix
s203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,"August 27, 2021",2005,6.1,165 min,"Comedies, International Movies, Music & Musicals",Netflix
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,"August 27, 2021",2016,2.0,124 min,"Comedies, International Movies",Netflix
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,"August 27, 2021",2012,5.0,136 min,"Comedies, International Movies",Netflix
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,"August 27, 2021",2001,5.5,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",Netflix
s207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,"August 27, 2021",2010,7.1,112 min,"Dramas, Independent Movies, International Movies",Netflix
